drug_name,lookupkey,phenotypes,classification,drugrecommendation,population
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Normal Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}","{""TPMT"": ""Poor Metabolizer"", ""NUDT15"": ""Poor Metabolizer""}",Strong,Consider alternative nonthiopurine immunosuppressant therapy.,general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Moderate,"Initiate therapy with reduced starting doses (20%-50% of standard starting dose) if standard starting dose is ≥ 2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Normal Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,"Based on TPMT, initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,"Based on TPMT, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Possible Intermediate Metabolizer"", ""NUDT15"": ""Indeterminate""}",Strong,"Based on TPMT, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Possible Intermediate Metabolizer""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Possible Intermediate Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Indeterminate""}","{""TPMT"": ""Indeterminate"", ""NUDT15"": ""Indeterminate""}",Strong,"Neither TPMT or NUDT15 phenotype could be assigned based on genotyping performed. Consider evaluating TPMT erythrocyte activity to assess TPMT phenotype. If thiopurines are required and either TPMT or NUDT15 status is unknown, monitor closely for toxicity.",general
azathioprine,"{""TPMT"": ""No Result"", ""NUDT15"": ""Normal Metabolizer""}","{""TPMT"": ""No Result"", ""NUDT15"": ""Normal Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with standard starting dose (e.g., 2 mg/kg/day for autoimmune diseases). During therapy, adjust doses of azathioprine based on disease-specific guidelines. It usually takes at least 2 weeks to reach steady state after each dose adjustment.",general
azathioprine,"{""TPMT"": ""No Result"", ""NUDT15"": ""Intermediate Metabolizer""}","{""TPMT"": ""No Result"", ""NUDT15"": ""Intermediate Metabolizer""}",Strong,"Based on NUDT15, initiate therapy with reduced starting doses (30-80% of standard starting dose) if standard starting dose is ≥2 mg/kg/day. If starting dose is already below standard starting dose, dose reduction might not be necessary. During therapy, adjust the doses of azathioprine based on the degree of myelosuppression and disease-specific guidelines. It usually takes at least 2-4 weeks of stable dosing to reach steady state after each dose adjustment.",general
